County,FirstDose,PercentFirstDose,txtPercentFirstDose,SecondDose,PercentSecondDose,txtPercentSecondDose,SingleDose,PercentSingleDose,txtPercentSingleDose,FullyVaccinated,PercentFullyVaccinated,txtPercentFullyVaccinated,AtLeastOneVaccine,PercentAtLeastOneVaccine,txtPercentAtLeastOneVaccine
Allegany,34895,49.555,49.555,31858,45.243,45.243,3700,5.254,5.254,35558.0,50.497,50.497,38595.0,54.81,54.81
Anne Arundel,411674,71.072,71.072,374596,64.671,64.671,27088,4.677,4.677,401684.0,69.347,69.347,438762.0,75.749,75.749
Baltimore,562081,67.936,67.936,518166,62.628,62.628,39164,4.734,4.734,557330.0,67.362,67.362,601245.0,72.669,72.669
Baltimore City,388102,65.393,65.393,347404,58.536,58.536,24083,4.058,4.058,371487.0,62.594,62.594,412185.0,69.451,69.451
Calvert,63532,68.665,68.665,57755,62.421,62.421,4301,4.648,4.648,62056.0,67.069,67.069,67833.0,73.313,73.313
Caroline,16320,48.853,48.853,14992,44.878,44.878,3329,9.965,9.965,18321.0,54.843,54.843,19649.0,58.819,58.819
Carroll,118016,70.061,70.061,109735,65.145,65.145,11376,6.753,6.753,121111.0,71.899,71.899,129392.0,76.815,76.815
Cecil,53136,51.661,51.661,47964,46.633,46.633,4354,4.233,4.233,52318.0,50.866,50.866,57490.0,55.894,55.894
Charles,106493,65.23,65.23,95138,58.275,58.275,5847,3.581,3.581,100985.0,61.856,61.856,112340.0,68.812,68.812
Dorchester,17042,53.375,53.375,15649,49.012,49.012,2398,7.51,7.51,18047.0,56.522,56.522,19440.0,60.885,60.885
Frederick,181789,70.041,70.041,166304,64.075,64.075,17919,6.904,6.904,184223.0,70.979,70.979,199708.0,76.945,76.945
Garrett,12953,44.644,44.644,11663,40.198,40.198,1005,3.464,3.464,12668.0,43.662,43.662,13958.0,48.108,48.108
Harford,163988,64.198,64.198,151501,59.31,59.31,14565,5.702,5.702,166066.0,65.011,65.011,178553.0,69.9,69.9
Howard,274308,84.224,84.224,251809,77.316,77.316,15471,4.75,4.75,267280.0,82.066,82.066,289779.0,88.974,88.974
Kent,13212,68.026,68.026,12020,61.889,61.889,1144,5.89,5.89,13164.0,67.779,67.779,14356.0,73.916,73.916
Montgomery,873372,83.124,83.124,776290,73.884,73.884,48909,4.655,4.655,825199.0,78.539,78.539,922281.0,87.779,87.779
Prince George's,627248,68.979,68.979,545899,60.033,60.033,32669,3.593,3.593,578568.0,63.626,63.626,659917.0,72.572,72.572
Queen Anne's,31285,62.097,62.097,28633,56.833,56.833,2841,5.639,5.639,31474.0,62.472,62.472,34126.0,67.736,67.736
St. Mary's,68299,60.17,60.17,62265,54.854,54.854,4392,3.869,3.869,66657.0,58.723,58.723,72691.0,64.039,64.039
Somerset,12818,50.039,50.039,11518,44.964,44.964,1326,5.176,5.176,12844.0,50.141,50.141,14144.0,55.215,55.215
Talbot,25257,67.93,67.93,22913,61.626,61.626,3108,8.359,8.359,26021.0,69.985,69.985,28365.0,76.289,76.289
Washington,78011,51.646,51.646,70826,46.889,46.889,12238,8.102,8.102,83064.0,54.991,54.991,90249.0,59.748,59.748
Wicomico,54998,53.082,53.082,49876,48.139,48.139,4779,4.613,4.613,54655.0,52.751,52.751,59777.0,57.695,57.695
Worcester,35228,67.388,67.388,31882,60.988,60.988,2871,5.492,5.492,34753.0,66.48,66.48,38099.0,72.88,72.88
Unknown,484620,,N/A,342748,,N/A,45907,,,388655.0,,N/A,530527.0,,N/A
