OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,AtLeastOnceDose,AtLeastOneDoseCumulative,FullyVaccinated,FullyVaccinatedCumulative
1,12/14/2020 15:00:00,age30to39,2,2,,0,,0,,2,,0
2,12/15/2020 15:00:00,age30to39,7,9,,0,,0,,9,,0
3,12/16/2020 15:00:00,age30to39,191,200,,0,,0,,200,,0
4,12/17/2020 15:00:00,age30to39,312,512,,0,,0,,512,,0
5,12/18/2020 15:00:00,age30to39,777,1289,3,3,,0,,1289,,3
6,12/19/2020 15:00:00,age30to39,232,1521,,3,,0,,1521,,3
7,12/20/2020 15:00:00,age30to39,86,1607,,3,,0,,1607,,3
8,12/21/2020 15:00:00,age30to39,1111,2718,1,4,,0,,2718,,4
9,12/22/2020 15:00:00,age30to39,1260,3978,4,8,,0,,3978,,8
10,12/23/2020 15:00:00,age30to39,1275,5253,6,14,,0,,5253,,14
11,12/24/2020 15:00:00,age30to39,638,5891,4,18,,0,,5891,,18
12,12/25/2020 15:00:00,age30to39,79,5970,,18,,0,,5970,,18
13,12/26/2020 15:00:00,age30to39,259,6229,2,20,,0,,6229,,20
14,12/27/2020 15:00:00,age30to39,286,6515,2,22,,0,,6515,,22
15,12/28/2020 15:00:00,age30to39,1988,8503,10,32,,0,,8503,,32
16,12/29/2020 15:00:00,age30to39,2196,10699,6,38,,0,,10699,,38
17,12/30/2020 15:00:00,age30to39,2682,13381,8,46,,0,,13381,,46
18,12/31/2020 15:00:00,age30to39,1637,15018,2,48,,0,,15018,,48
19,1/1/2021 15:00:00,age30to39,259,15277,22,70,,0,,15277,,70
20,1/2/2021 15:00:00,age30to39,514,15791,9,79,,0,,15791,,79
21,1/3/2021 15:00:00,age30to39,530,16321,29,108,,0,,16321,,108
22,1/4/2021 15:00:00,age30to39,2408,18729,77,185,,0,,18729,,185
23,1/5/2021 15:00:00,age30to39,2280,21009,118,303,,0,,21009,,303
24,1/6/2021 15:00:00,age30to39,2804,23813,239,542,,0,,23813,,542
25,1/7/2021 15:00:00,age30to39,3015,26828,488,1030,,0,,26828,,1030
26,1/8/2021 15:00:00,age30to39,3080,29908,671,1701,,0,,29908,,1701
27,1/9/2021 15:00:00,age30to39,901,30809,253,1954,,0,,30809,,1954
28,1/10/2021 15:00:00,age30to39,465,31274,103,2057,,0,,31274,,2057
29,1/11/2021 15:00:00,age30to39,2425,33699,930,2987,,0,,33699,,2987
30,1/12/2021 15:00:00,age30to39,3065,36764,1099,4086,,0,,36764,,4086
31,1/13/2021 15:00:00,age30to39,3382,40146,858,4944,,0,,40146,,4944
32,1/14/2021 15:00:00,age30to39,3177,43323,493,5437,,0,,43323,,5437
33,1/15/2021 15:00:00,age30to39,3377,46700,312,5749,,0,,46700,,5749
34,1/16/2021 15:00:00,age30to39,882,47582,262,6011,,0,,47582,,6011
35,1/17/2021 15:00:00,age30to39,306,47888,257,6268,,0,,47888,,6268
36,1/18/2021 15:00:00,age30to39,748,48636,499,6767,,0,,48636,,6767
37,1/19/2021 15:00:00,age30to39,1720,50356,1097,7864,,0,,50356,,7864
38,1/20/2021 15:00:00,age30to39,2023,52379,1105,8969,,0,,52379,,8969
39,1/21/2021 15:00:00,age30to39,2576,54955,759,9728,,0,,54955,,9728
40,1/22/2021 15:00:00,age30to39,3430,58385,616,10344,,0,,58385,,10344
41,1/23/2021 15:00:00,age30to39,1148,59533,303,10647,,0,,59533,,10647
42,12/14/2020 15:00:00,age20to29,4,4,,0,,0,,4,,0
43,12/15/2020 15:00:00,age20to29,5,9,,0,,0,,9,,0
44,12/16/2020 15:00:00,age20to29,103,112,,0,,0,,112,,0
45,12/17/2020 15:00:00,age20to29,191,303,2,2,,0,,303,,2
46,12/18/2020 15:00:00,age20to29,377,680,,2,,0,,680,,2
47,12/19/2020 15:00:00,age20to29,110,790,2,4,,0,,790,,4
48,12/20/2020 15:00:00,age20to29,45,835,1,5,,0,,835,,5
49,12/21/2020 15:00:00,age20to29,503,1338,3,8,,0,,1338,,8
50,12/22/2020 15:00:00,age20to29,668,2006,1,9,,0,,2006,,9
51,12/23/2020 15:00:00,age20to29,692,2698,1,10,,0,,2698,,10
52,12/24/2020 15:00:00,age20to29,356,3054,,10,,0,,3054,,10
53,12/25/2020 15:00:00,age20to29,70,3124,1,11,,0,,3124,,11
54,12/26/2020 15:00:00,age20to29,150,3274,1,12,,0,,3274,,12
55,12/27/2020 15:00:00,age20to29,144,3418,2,14,,0,,3418,,14
56,12/28/2020 15:00:00,age20to29,1179,4597,9,23,,0,,4597,,23
57,12/29/2020 15:00:00,age20to29,1350,5947,1,24,,0,,5947,,24
58,12/30/2020 15:00:00,age20to29,1784,7731,9,33,,0,,7731,,33
59,12/31/2020 15:00:00,age20to29,1105,8836,4,37,,0,,8836,,37
60,1/1/2021 15:00:00,age20to29,153,8989,10,47,,0,,8989,,47
61,1/2/2021 15:00:00,age20to29,437,9426,6,53,,0,,9426,,53
