VACCINATION_DATE,12-17,18-49,50-64,65 and Older
2020-12-14 15:00:00,,0.0,0.0,0.0
2020-12-15 15:00:00,,0.002,0.002,0.001
2020-12-16 15:00:00,,0.019,0.012,0.003
2020-12-17 15:00:00,,0.049,0.038,0.009
2020-12-18 15:00:00,,0.124,0.113,0.029
2020-12-19 15:00:00,,0.146,0.136,0.036
2020-12-20 15:00:00,,0.155,0.143,0.038
2020-12-21 15:00:00,,0.256,0.233,0.061
2020-12-22 15:00:00,0.002,0.382,0.38,0.196
2020-12-23 15:00:00,0.002,0.51,0.527,0.269
2020-12-24 15:00:00,,0.574,0.599,0.293
2020-12-25 15:00:00,0.004,0.585,0.627,0.334
2020-12-26 15:00:00,,0.614,0.678,0.389
2020-12-27 15:00:00,0.004,0.644,0.721,0.441
2020-12-28 15:00:00,0.005,0.842,0.946,0.565
2020-12-29 15:00:00,0.005,1.067,1.234,0.742
2020-12-30 15:00:00,0.006,1.35,1.56,0.881
2020-12-31 15:00:00,0.006,1.521,1.75,0.971
2021-01-01 15:00:00,0.008,1.558,1.807,1.078
2021-01-02 15:00:00,0.008,1.615,1.868,1.162
2021-01-03 15:00:00,0.008,1.678,1.949,1.243
2021-01-04 15:00:00,0.009,1.945,2.289,1.489
2021-01-05 15:00:00,0.011,2.189,2.601,1.74
2021-01-06 15:00:00,0.014,2.489,2.999,2.025
2021-01-07 15:00:00,0.016,2.805,3.382,2.26
2021-01-08 15:00:00,0.023,3.133,3.783,2.543
2021-01-09 15:00:00,0.024,3.232,3.902,2.667
2021-01-10 15:00:00,0.025,3.284,3.971,2.747
2021-01-11 15:00:00,0.028,3.543,4.302,3.066
2021-01-12 15:00:00,0.034,3.865,4.697,3.515
2021-01-13 15:00:00,0.037,4.238,5.152,3.878
2021-01-14 15:00:00,0.04,4.586,5.58,4.266
2021-01-15 15:00:00,0.042,4.96,6.015,4.744
2021-01-16 15:00:00,0.042,5.06,6.113,4.959
2021-01-17 15:00:00,0.043,5.094,6.158,5.03
2021-01-18 15:00:00,0.044,5.178,6.269,5.402
2021-01-19 15:00:00,0.046,5.369,6.499,6.366
2021-01-20 15:00:00,0.049,5.592,6.781,7.6
2021-01-21 15:00:00,0.052,5.878,7.129,8.873
2021-01-22 15:00:00,0.055,6.255,7.605,10.254
2021-01-23 15:00:00,0.057,6.381,7.75,10.784
2021-01-24 15:00:00,0.06,6.411,7.796,10.993
2021-01-25 15:00:00,0.062,6.58,8.001,11.981
2021-01-26 15:00:00,0.065,6.771,8.223,13.02
2021-01-27 15:00:00,0.07,7.007,8.514,14.57
2021-01-28 15:00:00,0.073,7.236,8.808,15.948
2021-01-29 15:00:00,0.086,7.472,9.127,17.49
2021-01-30 15:00:00,0.09,7.645,9.34,18.608
2021-01-31 15:00:00,0.092,7.698,9.404,18.778
2021-02-01 15:00:00,0.102,7.766,9.512,19.253
2021-02-02 15:00:00,0.108,7.883,9.681,20.022
2021-02-03 15:00:00,0.114,8.067,9.937,21.101
2021-02-04 15:00:00,0.117,8.27,10.262,22.446
2021-02-05 15:00:00,0.12,8.475,10.55,23.647
2021-02-06 15:00:00,0.123,8.608,10.714,24.258
2021-02-07 15:00:00,0.124,8.666,10.801,24.611
2021-02-08 15:00:00,0.128,8.792,10.973,25.405
2021-02-09 15:00:00,0.131,8.951,11.192,26.434
2021-02-10 15:00:00,0.136,9.117,11.443,27.677
2021-02-11 15:00:00,0.141,9.343,11.768,29.044
2021-02-12 15:00:00,0.143,9.573,12.098,30.135
2021-02-13 15:00:00,0.147,9.684,12.263,30.816
2021-02-14 15:00:00,0.151,9.768,12.376,31.188
2021-02-15 15:00:00,0.154,9.88,12.527,31.922
2021-02-16 15:00:00,0.16,10.05,12.791,32.856
2021-02-17 15:00:00,0.161,10.299,13.136,33.909
