ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated
0,161315.0,138729.0,23467.0,184782.0,162196.0
66,1.0,1.0,,,
233,1.0,,,,
501,2.0,2.0,,,
601,1.0,1.0,,,
616,1.0,,,,
633,1.0,,,,
650,2.0,,,,
667,1.0,,,,
682,4.0,4.0,,,
683,1.0,1.0,,,
685,4.0,3.0,1.0,5.0,4.0
698,4.0,1.0,,,
716,4.0,,1.0,5.0,
718,3.0,,,,
735,1.0,,,,
751,3.0,,,,
766,2.0,1.0,,,
767,3.0,1.0,1.0,4.0,2.0
782,2.0,2.0,,,
784,4.0,,,,
801,6.0,4.0,2.0,8.0,6.0
802,12.0,5.0,,,
851,3.0,1.0,,,
901,3.0,,,,
918,2.0,,,,
949,8.0,5.0,,,
951,1.0,1.0,,,
968,1.0,1.0,,,
969,4.0,2.0,,,
982,2.0,1.0,,,
983,1.0,,,,
984,1.0,1.0,,,
985,3.0,1.0,,,
1001,7.0,5.0,,,
1002,33.0,19.0,2.0,35.0,21.0
1032,1.0,1.0,,,
1035,6.0,3.0,,,
1069,2.0,1.0,,,
1085,7.0,3.0,,,
1086,1.0,1.0,,,
1103,1.0,1.0,,,
1118,4.0,4.0,,,
1119,1.0,1.0,,,
1201,12.0,9.0,,,
1236,2.0,1.0,,,
1253,1.0,,,,
1267,7.0,2.0,,,
1301,7.0,6.0,1.0,8.0,7.0
1370,1.0,,1.0,2.0,
1420,8.0,5.0,,,
1436,1.0,,,,
1450,9.0,7.0,1.0,10.0,8.0
1451,3.0,2.0,,,
1452,1.0,1.0,,,
1453,12.0,7.0,1.0,13.0,8.0
1468,1.0,1.0,,,
1469,1.0,,,,
1501,4.0,1.0,,,
1503,2.0,1.0,,,
1519,1.0,1.0,,,
1520,5.0,5.0,1.0,6.0,6.0
1534,1.0,,,,
1535,1.0,,,,
1536,1.0,,,,
1568,3.0,3.0,,,
1569,4.0,2.0,1.0,5.0,3.0
1570,1.0,1.0,,,
1602,13.0,8.0,,,
1603,2.0,1.0,,,
1604,19.0,12.0,3.0,22.0,15.0
1701,22.0,15.0,1.0,23.0,16.0
1702,22.0,13.0,1.0,23.0,14.0
1703,1.0,1.0,,,
1719,10.0,8.0,,,
1720,29.0,19.0,1.0,30.0,20.0
1721,9.0,3.0,,,
1752,18.0,9.0,,,
1754,5.0,3.0,,,
1770,5.0,3.0,,,
1771,2.0,2.0,,,
1801,14.0,12.0,,,
1803,17.0,10.0,1.0,18.0,11.0
1821,11.0,7.0,,,
1835,2.0,2.0,,,
1851,15.0,7.0,2.0,17.0,9.0
1852,13.0,7.0,2.0,15.0,9.0
1853,1.0,1.0,,,
1854,8.0,4.0,,,
1886,20.0,12.0,1.0,21.0,13.0
1887,3.0,3.0,,,
1902,12.0,4.0,1.0,13.0,5.0
1904,7.0,4.0,,,
1905,6.0,3.0,,,
1921,9.0,4.0,,,
1938,5.0,2.0,1.0,6.0,3.0
1952,3.0,1.0,,,
1969,1.0,,,,
1970,12.0,6.0,1.0,13.0,7.0
1985,1.0,1.0,1.0,2.0,2.0
2019,3.0,,,,
2021,15.0,7.0,1.0,16.0,8.0
2035,8.0,5.0,,,
2038,19.0,13.0,,,
2052,12.0,9.0,3.0,15.0,12.0
2053,8.0,5.0,1.0,9.0,6.0
2054,2.0,2.0,,,
1,2.0,2.0,,,
10,1.0,1.0,,,
17,1.0,1.0,,,
19,1.0,,,,
385,1.0,1.0,,,
603,8.0,3.0,,,
