VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedAllDoses,CombinedAllDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
2020-12-14 15:00:00,50-64,2.0,2,,0,,0,,0,,0
2020-12-15 15:00:00,50-64,20.0,22,1.0,1,,0,,0,,0
2020-12-16 15:00:00,50-64,122.0,144,,1,,0,,0,,0
2020-12-17 15:00:00,50-64,311.0,455,,1,,0,,0,,0
2020-12-18 15:00:00,50-64,915.0,1370,4.0,5,,0,,0,,0
2020-12-19 15:00:00,50-64,278.0,1648,2.0,7,,0,,0,,0
2020-12-20 15:00:00,50-64,86.0,1734,1.0,8,,0,,0,,0
2020-12-21 15:00:00,50-64,1092.0,2826,4.0,12,,0,,0,,0
2020-12-22 15:00:00,50-64,1817.0,4643,4.0,16,,0,,0,,0
2020-12-23 15:00:00,50-64,1803.0,6446,7.0,23,,0,,0,,0
2020-12-24 15:00:00,50-64,882.0,7328,3.0,26,,0,,0,,0
2020-12-25 15:00:00,50-64,339.0,7667,2.0,28,,0,,0,,0
2020-12-26 15:00:00,50-64,617.0,8284,2.0,30,,0,,0,,0
2020-12-27 15:00:00,50-64,527.0,8811,2.0,32,,0,,0,,0
2020-12-28 15:00:00,50-64,2762.0,11573,6.0,38,,0,,0,,0
2020-12-29 15:00:00,50-64,3524.0,15097,10.0,48,,0,,0,,0
2020-12-30 15:00:00,50-64,3984.0,19081,22.0,70,,0,,0,,0
2020-12-31 15:00:00,50-64,2336.0,21417,7.0,77,,0,,0,,0
2021-01-01 15:00:00,50-64,604.0,22021,24.0,101,,0,,0,,0
2021-01-02 15:00:00,50-64,742.0,22763,7.0,108,,0,,0,,0
2021-01-03 15:00:00,50-64,989.0,23752,15.0,123,,0,,0,,0
2021-01-04 15:00:00,50-64,4164.0,27916,82.0,205,,0,,0,,0
2021-01-05 15:00:00,50-64,3815.0,31731,143.0,348,,0,,0,,0
2021-01-06 15:00:00,50-64,4872.0,36603,218.0,566,,0,,0,,0
2021-01-07 15:00:00,50-64,4694.0,41297,479.0,1045,,0,,0,,0
2021-01-08 15:00:00,50-64,4904.0,46201,831.0,1876,,0,,0,,0
2021-01-09 15:00:00,50-64,1452.0,47653,275.0,2151,,0,,0,,0
2021-01-10 15:00:00,50-64,848.0,48501,95.0,2246,,0,,0,,0
2021-01-11 15:00:00,50-64,4046.0,52547,991.0,3237,,0,,0,,0
2021-01-12 15:00:00,50-64,4828.0,57375,1672.0,4909,,0,,0,,0
2021-01-13 15:00:00,50-64,5571.0,62946,1167.0,6076,,0,,0,,0
2021-01-14 15:00:00,50-64,5268.0,68214,569.0,6645,,0,,0,,0
2021-01-15 15:00:00,50-64,5348.0,73562,626.0,7271,,0,,0,,0
2021-01-16 15:00:00,50-64,1192.0,74754,452.0,7723,,0,,0,,0
2021-01-17 15:00:00,50-64,549.0,75303,386.0,8109,,0,,0,,0
2021-01-18 15:00:00,50-64,1358.0,76661,1020.0,9129,,0,,0,,0
2021-01-19 15:00:00,50-64,2838.0,79499,1563.0,10692,,0,,0,,0
2021-01-20 15:00:00,50-64,3491.0,82990,1587.0,12279,,0,,0,,0
2021-01-21 15:00:00,50-64,4261.0,87251,1104.0,13383,,0,,0,,0
2021-01-22 15:00:00,50-64,5856.0,93107,1014.0,14397,,0,,0,,0
2021-01-23 15:00:00,50-64,1772.0,94879,544.0,14941,,0,,0,,0
2021-01-24 15:00:00,50-64,557.0,95436,566.0,15507,,0,,0,,0
2021-01-25 15:00:00,50-64,2562.0,97998,2832.0,18339,,0,,0,,0
2021-01-26 15:00:00,50-64,2772.0,100770,2870.0,21209,,0,,0,,0
